# CVS $Revision: 12254 $ $Author: eddyanthony $ -- Tue Oct 19 12:35:07 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Campaign Setting	SOURCESHORT:CS	SOURCEWEB:http://paizo.com/pathfinder/campaignSetting/35E/v5748btpy84eo	SOURCEDATE:2008-08

# Modern Human Languages
# Language		Type
Hallit		TYPE:Spoken.Written.Read
Kelish		TYPE:Spoken.Written.Read
Polyglot		TYPE:Spoken.Written.Read
Taldane		TYPE:Spoken.Written.Read
Tien			TYPE:Spoken.Written.Read
Skald			TYPE:Spoken.Written.Read
Varisian		TYPE:Spoken.Written.Read
Vudrani		TYPE:Spoken.Written.Read

# Dead Languages
Ancient Osirian	TYPE:Spoken.Written.Read
Azlanti		TYPE:Spoken.Written.Read
Jistka		TYPE:Spoken.Written.Read
Tekritanin		TYPE:Spoken.Written.Read
Thassilonian	TYPE:Spoken.Written.Read

#
# End
#
