# CVS $Revision: $ $Author: $ -- Fri Jul 12 10:35:10 2013 -- reformated by prettylst.pl v1.50 (build 20400)
SOURCELONG:Advanced Race Guide	SOURCESHORT:PFARG	SOURCEWEB:http://paizo.com/products/btpy8rv2?Pathfinder-Roleplaying-Game-Advanced-Race-Guide	SOURCEDATE:2012-06
# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2012/07/28

###Block: Subtypes
# Template Name	Source Page		Race Subtype
Catfolk		SOURCEPAGE:p.91	RACESUBTYPE:Catfolk
Dhampir		SOURCEPAGE:p.97	RACESUBTYPE:Dhampir
Ratfolk		SOURCEPAGE:p.151	RACESUBTYPE:Ratfolk
Tengu			SOURCEPAGE:p.163	RACESUBTYPE:Tengu
Changeling		SOURCEPAGE:p.184	RACESUBTYPE:Changeling
Grippli		SOURCEPAGE:p.190	RACESUBTYPE:Grippli
Kitsune		SOURCEPAGE:p.192	RACESUBTYPE:Kitsune
Samsaran		SOURCEPAGE:p.198	RACESUBTYPE:Samsaran
Strix			SOURCEPAGE:p.200	RACESUBTYPE:Strix
Vanara		SOURCEPAGE:p.206	RACESUBTYPE:Vanara
Vishkanya		SOURCEPAGE:p.206	RACESUBTYPE:Vishkanya
Wayang		SOURCEPAGE:p.206	RACESUBTYPE:Wayang
