# CVS $Revision: 21663 $ $Author: amaitland $ -- Fri Aug  7 11:27:25 2015 -- reformated by prettylst.pl v1.51 (build 25836)
SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy97vo	SOURCEDATE:2015-08
# Original Entry by: Stefan Radermacher

# Class Name	Hit Dice	Type			Class Type		Abbreviation	Max Level	Source Page		Ability																	Visible	Define			Combat bonus											Save bonus																						Modify VAR
CLASS:Kineticist	HD:8		TYPE:Base.PC	CLASSTYPE:PC	ABB:Kin		MAXLEVEL:20	SOURCEPAGE:p.10	ABILITY:Internal|AUTOMATIC|Class Skills ~ Kineticist|!PREABILITY:1,CATEGORY=Archetype,KineticistClassSkills	VISIBLE:YES	DEFINE:KineticistLVL|0	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE	BONUS:SAVE|BASE.Fortitude,BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:VAR|KineticistLVL|CL
# Class Name	Skill Pts/Lvl
CLASS:Kineticist	STARTSKILLPTS:4
# Class Name	Spell Stat		Spell Type		Spellbook		Caster level

###Block:Proficiencies
1	ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Kineticist|!PREABILITY:1,CATEGORY=Archetype,TYPE.KineticistWeaponProficiencies
###Block:
1	ABILITY:Kineticist Class Feature|AUTOMATIC|Kineticist ~ Elemental Focus
1	ABILITY:Kineticist Class Feature|AUTOMATIC|Kineticist ~ Burn
1	ABILITY:Kineticist Class Feature|AUTOMATIC|Kineticist ~ Kinetic Blast
1	ABILITY:Kineticist Class Feature|AUTOMATIC|Kineticist ~ Gather Power
1	ABILITY:Kineticist Class Feature|AUTOMATIC|Kineticist ~ Infusion|!PREABILITY:1,CATEGORY=Archetype,TYPE.KineticistInfusions
2	ABILITY:Kineticist Class Feature|AUTOMATIC|Kineticist ~ Elemental Defense
2	BONUS:ABILITYPOOL|Utility Wild Talent|1
3	ABILITY:Kineticist Class Feature|AUTOMATIC|Kineticist ~ Elemental Overflow
4	BONUS:ABILITYPOOL|Utility Wild Talent|1
5	ABILITY:Kineticist Class Feature|AUTOMATIC|Kineticist ~ Infusion Specialization
5	ABILITY:Kineticist Class Feature|AUTOMATIC|Kineticist ~ Metakinesis
6	ABILITY:Kineticist Class Feature|AUTOMATIC|Kineticist ~ Internal Buffer
6	BONUS:ABILITYPOOL|Utility Wild Talent|1

#
# End
#
