# CVS $Revision: 21663 $ $Author: amaitland $ -- Thu Jul 24 12:09:40 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Legendary Classes: Covenant Magic	SOURCESHORT:LCCM	SOURCEWEB:http://www.rpgnow.com/product/113081/Legendary-Classes-Covenant-Magic	SOURCEDATE:2013-04
# Original Entry by: Stefan Radermacher

# Class Name	Hit Dice	Type			Class Type		Abbreviation	Max Level	Source Page		Ability																Define			Save checks bonus											Combat bonus
CLASS:Medium	HD:8		TYPE:Base.PC	CLASSTYPE:PC	ABB:Med		MAXLEVEL:20	SOURCEPAGE:p.3	ABILITY:Internal|AUTOMATIC|Class Skills ~ Medium|!PREABILITY:1,CATEGORY=Archetype,MediumClassSkills	DEFINE:MediumLVL|CL	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:CHECKS|BASE.Fortitude,BASE.Reflex|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE
# Class Name	Skill Pts/Lvl
CLASS:Medium	STARTSKILLPTS:4
# Class Name	Spell Stat		Stat for Bonus Spells	Spell Type		Memorize	Caster level
CLASS:Medium	SPELLSTAT:CHA	BONUSSPELLSTAT:NONE	SPELLTYPE:Arcane	MEMORIZE:NO	BONUS:CASTERLEVEL|Medium|CL
###Block:Proficiencies
1	ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Medium|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumWeaponProficiencies
1	ABILITY:Internal|AUTOMATIC|Weapon Prof ~ Simple|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumWeaponProficiencies
###Block: Spell Alignment Restrictions
1	PROHIBITSPELL:ALIGNMENT.Good|PREALIGN:LN,TN,CN,LE,NE,CE	PROHIBITSPELL:ALIGNMENT.Evil|PREALIGN:LG,NG,CG,LN,TN,CN	PROHIBITSPELL:ALIGNMENT.Lawful|PREALIGN:NG,TN,NE,CG,CN,CE	PROHIBITSPELL:ALIGNMENT.Chaotic|PREALIGN:LG,LN,LE,NG,TN,NE
###Block: Level Progression Abilities
1	BONUS:VAR|InfluenceLVL|MediumLVL		ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Influence|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumInfluence
1	BONUS:VAR|SpiritBoonLVL|MediumLVL		ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Spirit Boon|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumSpiritBoon
1	BONUS:VAR|SpiritGuideLVL|MediumLVL		ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Spirit Guide|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumSpiritGuide
1	BONUS:VAR|TranceLVL|MediumLVL			ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Trance|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumTrance
2	BONUS:VAR|DetectSpiritsLVL|MediumLVL	ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Detect Spirits|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumDetectSpirits
2	BONUS:VAR|ItemActivationLVL|MediumLVL	ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Item Activation|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumItemActivation
3	BONUS:VAR|SeanceLVL|MediumLVL			ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Seance|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumSeance
4	BONUS:VAR|MagicCircleLVL|MediumLVL		ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Magic Circle against Spirits|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumMagicCircle
6	BONUS:VAR|QuellSpiritsLVL|MediumLVL		ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Quell Spirits|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumQuellSpirits
8	BONUS:VAR|ExpelSpiritsLVL|MediumLVL		ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Expel Spirits|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumExpelSpirits
10								ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Greater Trance|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumGreaterTrance
20								ABILITY:Medium Class Feature|AUTOMATIC|Medium ~ Supernal Trance|!PREABILITY:1,CATEGORY=Archetype,TYPE.MediumSupernalTrance
###Block: Level progression
1	CAST:0			KNOWN:4
2	CAST:0,3			KNOWN:5,1
3	CAST:0,3			KNOWN:5,2
4	CAST:0,3			KNOWN:6,3
5	CAST:0,0,3			KNOWN:6,3,1
6	CAST:0,0,3			KNOWN:6,3,2
7	CAST:0,0,3			KNOWN:6,3,3
8	CAST:0,0,0,3		KNOWN:6,3,3,1
9	CAST:0,0,0,3		KNOWN:6,3,3,2
10	CAST:0,0,0,3		KNOWN:6,3,3,3
11	CAST:0,0,0,0,3		KNOWN:6,3,3,3,1
12	CAST:0,0,0,0,3		KNOWN:6,3,3,3,2
13	CAST:0,0,0,0,3		KNOWN:6,3,3,3,3
14	CAST:0,0,0,0,0,3		KNOWN:6,3,3,3,3,1
15	CAST:0,0,0,0,0,3		KNOWN:6,3,3,3,3,2
16	CAST:0,0,0,0,0,3		KNOWN:6,3,3,3,3,3
17	CAST:0,0,0,0,0,0,3	KNOWN:6,3,3,3,3,3,1
18	CAST:0,0,0,0,0,0,3	KNOWN:6,3,3,3,3,3,2
19	CAST:0,0,0,0,0,0,3	KNOWN:6,3,3,3,3,3,3
20	CAST:0,0,0,0,0,0,3	KNOWN:6,3,3,3,3,3,3


