# CVS $Revision: 21663 $ $Author: amaitland $ -- Thu Jul 24 12:02:36 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Legendary Classes: Covenant Magic	SOURCESHORT:LCCM	SOURCEWEB:http://www.rpgnow.com/product/113081/Legendary-Classes-Covenant-Magic	SOURCEDATE:2013-04
# Original Entry by: Stefan Radermacher

###Block: Main Spell List
# Spell Name	Classes of caster			School		Components	Casting Time			Range		Target Area or Effect																Duration								Save Info		Spell Resistance	Source Page		Description
Expel Spirit	CLASSES:Medium=4|Witch=5	SCHOOL:Abjuration	COMPS:V,S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and a touched spirit from another plane, or you and an enchantment on a touched creature or object	DURATION:(CASTERLEVEL) rounds or until discharged	SAVEINFO:See text	SPELLRES:See text	SOURCEPAGE:p.23	DESC:Pale silver light surrounds you granting a +4 deflection bonus to AC against attacks by fey, outsoiders, and undead and you can choose to drive extraplaner fey, outsiders, or undead back to their home plane on making a successful melee touch attack.|!PRERULE:1,DisplayFullSpell

###Block: Full Spell Descriptions				#
# Spell Name	Description
Expel Spirit.MOD	DESC:Pale silver light surrounds you. This energy has three effects. First, you gain a +4 deflection bonus to AC against attacks by fey, outsiders, and undead.  Second, on making a successful melee touch attack against an extraplanar fey, outsider, or undead, you can choose to drive that creature back to its home plane. The creature can negate the effects with a successful Will save [spell resistance applies]. This usedischarges and ends the spell. Third, with a touch you can automatically dispel any one enchantment spell cast by a fey, outsider, or undead. Spells that can’t be dispelled by dispel magic also can’t be dispelled by expel spirits. Saving throws and spell resistance do not apply to this effect. This use discharges and ends the spell.|PRERULE:1,DisplayFullSpell

###Block: .Mod Spells
# Spell Name					Classes of caster
Bleed.MOD						CLASSES:Medium=0
Dancing Lights.MOD				CLASSES:Medium=0
Daze.MOD						CLASSES:Medium=0
Detect Magic.MOD					CLASSES:Medium=0
Detect Poison.MOD					CLASSES:Medium=0
Disrupt Undead.MOD				CLASSES:Medium=0
Ghost Sound.MOD					CLASSES:Medium=0
Guidance.MOD					CLASSES:Medium=0
Haunted Fey Aspect.MOD				CLASSES:Medium=0
Know Direction.MOD				CLASSES:Medium=0
Mage Hand.MOD					CLASSES:Medium=0
Mending.MOD						CLASSES:Medium=0
Message.MOD						CLASSES:Medium=0
Open/Close.MOD					CLASSES:Medium=0
Prestidigitation.MOD				CLASSES:Medium=0
Read Magic.MOD					CLASSES:Medium=0
Resistance.MOD					CLASSES:Medium=0
Sift.MOD						CLASSES:Medium=0
Stabilize.MOD					CLASSES:Medium=0
Touch of Fatigue.MOD				CLASSES:Medium=0
Unwitting Ally.MOD				CLASSES:Medium=0
Virtue.MOD						CLASSES:Medium=0

Adjuring Step.MOD					CLASSES:Medium=1
Alarm.MOD						CLASSES:Medium=1
Animate Rope.MOD					CLASSES:Medium=1
Anticipate Peril.MOD				CLASSES:Medium=1
Bane.MOD						CLASSES:Medium=1
Bless.MOD						CLASSES:Medium=1
Borrow Skill.MOD					CLASSES:Medium=1
Bungle.MOD						CLASSES:Medium=1
Calm Animals.MOD					CLASSES:Medium=1
Cause Fear.MOD					CLASSES:Medium=1
Charm Person.MOD					CLASSES:Medium=1
Chill Touch.MOD					CLASSES:Medium=1
Command.MOD						CLASSES:Medium=1
Compel Hostility.MOD				CLASSES:Medium=1
Comprehend Languages.MOD			CLASSES:Medium=1
Confusion (Lesser).MOD				CLASSES:Medium=1
Dancing Lantern.MOD				CLASSES:Medium=1
Daze Monster.MOD					CLASSES:Medium=1
Deathwatch.MOD					CLASSES:Medium=1
Delusional Pride.MOD				CLASSES:Medium=1
Detect Chaos.MOD					CLASSES:Medium=1
Detect Good.MOD					CLASSES:Medium=1
Detect Evil.MOD					CLASSES:Medium=1
Detect Law.MOD					CLASSES:Medium=1
Detect Secret Doors.MOD				CLASSES:Medium=1
Detect Snares and Pits.MOD			CLASSES:Medium=1
Diagnose Disease.MOD				CLASSES:Medium=1
Disguise Self.MOD					CLASSES:Medium=1
Doom.MOD						CLASSES:Medium=1
Endure Elements.MOD				CLASSES:Medium=1
Expeditious Retreat.MOD				CLASSES:Medium=1
Faerie Fire.MOD					CLASSES:Medium=1
Feather Fall.MOD					CLASSES:Medium=1
Floating Disk.MOD					CLASSES:Medium=1
Forbid Action.MOD					CLASSES:Medium=1
Fumbletongue.MOD					CLASSES:Medium=1
Grease.MOD						CLASSES:Medium=1
Hide from Undead.MOD				CLASSES:Medium=1
Hold Portal.MOD					CLASSES:Medium=1
Hypnotism.MOD					CLASSES:Medium=1
Identify.MOD					CLASSES:Medium=1
Ill Omen.MOD					CLASSES:Medium=1
Interrogation.MOD					CLASSES:Medium=1
Jitterbugs.MOD					CLASSES:Medium=1
Jump.MOD						CLASSES:Medium=1
Karmic Blessing.MOD				CLASSES:Medium=1
Liberating Command.MOD				CLASSES:Medium=1
Linebreaker.MOD					CLASSES:Medium=1
Lock Gaze.MOD					CLASSES:Medium=1
Mage Armor.MOD					CLASSES:Medium=1
Magic Weapon.MOD					CLASSES:Medium=1
Magic Mouth.MOD					CLASSES:Medium=1
Memory Lapse.MOD					CLASSES:Medium=1
Murderous Command.MOD				CLASSES:Medium=1
Negative Reaction.MOD				CLASSES:Medium=1
Obscure Object.MOD				CLASSES:Medium=1
Persuasive Goad.MOD				CLASSES:Medium=1
Protection from Chaos.MOD			CLASSES:Medium=1
Protection from Evil.MOD			CLASSES:Medium=1
Protection from Good.MOD			CLASSES:Medium=1
Protection from Law.MOD				CLASSES:Medium=1
Remove Fear.MOD					CLASSES:Medium=1
Restful Sleep.MOD					CLASSES:Medium=1
Returning Weapon.MOD				CLASSES:Medium=1
Sanctify Corpse.MOD				CLASSES:Medium=1
See Alignment.MOD					CLASSES:Medium=1
Silent Image.MOD					CLASSES:Medium=1
Sow Thought.MOD					CLASSES:Medium=1
Theft Ward.MOD					CLASSES:Medium=1
Touch of Combustion.MOD				CLASSES:Medium=1
Undetectable Alignment.MOD			CLASSES:Medium=1
Unprepared Combatant.MOD			CLASSES:Medium=1
Unseen Servant.MOD				CLASSES:Medium=1
Ventriloquism.MOD					CLASSES:Medium=1
Wrath.MOD						CLASSES:Medium=1

Adoration.MOD					CLASSES:Medium=2
Ancestral Regression.MOD			CLASSES:Medium=2
Animal Trance.MOD					CLASSES:Medium=2
Arcane Lock.MOD					CLASSES:Medium=2
Blessing of Luck and Resolve.MOD		CLASSES:Medium=2
Blindness/Deafness.MOD				CLASSES:Medium=2
Blistering Invective.MOD			CLASSES:Medium=2
Burning Gaze.MOD					CLASSES:Medium=2
Calm Emotions.MOD					CLASSES:Medium=2
Chill Metal.MOD					CLASSES:Medium=2
Command Undead.MOD				CLASSES:Medium=2
#Commune with Birds.MOD				CLASSES:Medium=2
Compassionate Ally.MOD				CLASSES:Medium=2
Consecrate.MOD					CLASSES:Medium=2
Darkness.MOD					CLASSES:Medium=2
Death Candle.MOD					CLASSES:Medium=2
Death Knell.MOD					CLASSES:Medium=2
Desecrate.MOD					CLASSES:Medium=2
Detect Thoughts.MOD				CLASSES:Medium=2
Disguise Other.MOD				CLASSES:Medium=2
Divine Favor.MOD					CLASSES:Medium=2
Enemy's Heart.MOD					CLASSES:Medium=2
Enthrall.MOD					CLASSES:Medium=2
Find Traps.MOD					CLASSES:Medium=2
Ghostbane Dirge.MOD				CLASSES:Medium=2
Ghostly Disguise.MOD				CLASSES:Medium=2
Ghost Wolf.MOD					CLASSES:Medium=2
Glide.MOD						CLASSES:Medium=2
Guiding Star.MOD					CLASSES:Medium=2
Haunting Mists.MOD				CLASSES:Medium=2
Heat Metal.MOD					CLASSES:Medium=2
Hideous Laughter.MOD				CLASSES:Medium=2
Hold Animal.MOD					CLASSES:Medium=2
Hold Person.MOD					CLASSES:Medium=2
Honeyed Tongue.MOD				CLASSES:Medium=2
Howling Agony.MOD					CLASSES:Medium=2
Imbue with Aura.MOD				CLASSES:Medium=2
Imbue With Elemental Might.MOD		CLASSES:Medium=2
Invisibility.MOD					CLASSES:Medium=2
Knock.MOD						CLASSES:Medium=2
Levitate.MOD					CLASSES:Medium=2
Locate Object.MOD					CLASSES:Medium=2
Mad Hallucination.MOD				CLASSES:Medium=2
Minor Dream.MOD					CLASSES:Medium=2
Misdirection.MOD					CLASSES:Medium=2
Miserable Pity.MOD				CLASSES:Medium=2
Oppressive Boredom.MOD				CLASSES:Medium=2
Perceive Cues.MOD					CLASSES:Medium=2
Phantom Driver.MOD				CLASSES:Medium=2
Phantom Steed.MOD					CLASSES:Medium=2
Pilfering Hand.MOD				CLASSES:Medium=2
Protection from Chaos (Communal).MOD	CLASSES:Medium=2
Protection from Evil (Communal).MOD		CLASSES:Medium=2
Protection from Good (Communal).MOD		CLASSES:Medium=2
Protection from Law (Communal).MOD		CLASSES:Medium=2
Qualm.MOD						CLASSES:Medium=2
Rage.MOD						CLASSES:Medium=2
Reckless Infatuation.MOD			CLASSES:Medium=2
Returning Weapon (Communal).MOD		CLASSES:Medium=2
Rope Trick.MOD					CLASSES:Medium=2
Sacred Space.MOD					CLASSES:Medium=2
Scare.MOD						CLASSES:Medium=2
See Invisibility.MOD				CLASSES:Medium=2
Sentry Skull.MOD					CLASSES:Medium=2
Shadow Anchor.MOD					CLASSES:Medium=2
Share Memory.MOD					CLASSES:Medium=2
Shatter.MOD						CLASSES:Medium=2
Shield of Faith.MOD				CLASSES:Medium=2
Shield Other.MOD					CLASSES:Medium=2
Speak with Animals.MOD				CLASSES:Medium=2
Spectral Hand.MOD					CLASSES:Medium=2
Spider Climb.MOD					CLASSES:Medium=2
Spiritual Weapon.MOD				CLASSES:Medium=2
Status.MOD						CLASSES:Medium=2
Steal Breath.MOD					CLASSES:Medium=2
Steal Voice.MOD					CLASSES:Medium=2
Suggestion.MOD					CLASSES:Medium=2
Tongues.MOD						CLASSES:Medium=2
Touch of Idiocy.MOD				CLASSES:Medium=2
True Strike.MOD					CLASSES:Medium=2
Unadulterated Loathing.MOD			CLASSES:Medium=2
Unnatural Lust.MOD				CLASSES:Medium=2
Unshakable Chill.MOD				CLASSES:Medium=2
Vomit Swarm.MOD					CLASSES:Medium=2
Water Walk.MOD					CLASSES:Medium=2
Whispering Lore.MOD				CLASSES:Medium=2
Whispering Wind.MOD				CLASSES:Medium=2
Wind Wall.MOD					CLASSES:Medium=2
Zone of Truth.MOD					CLASSES:Medium=2

Ablative Barrier.MOD				CLASSES:Medium=3
Agonize.MOD						CLASSES:Medium=3
Agonizing Rebuke.MOD				CLASSES:Medium=3
Air Walk.MOD					CLASSES:Medium=3
Animate Dead.MOD					CLASSES:Medium=3
Arcane Sight.MOD					CLASSES:Medium=3
Aura of Doom.MOD					CLASSES:Medium=3
Banish Seeming.MOD				CLASSES:Medium=3
